행정구역,0~9세,10~19세,20~29세,30~39세,_40~49세,_50~59세,_60~69세,70~79세,80~89세,90~99세
서울특별시 강북구 (1130500000),"9,380","17,802","33,634","34,104","35,460","47,743","47,317","32,733","16,162","2,147"
서울특별시 강북구 삼양동(1130553400),"1,002","1,675","2,819","2,951","3,181","4,347","4,109","2,691","1,219",164
서울특별시 강북구 미아동(1130553500),401,"1,031","3,222","2,662","2,287","3,270","3,539","2,313","1,143",151
서울특별시 강북구 송중동(1130554500),997,"1,718","3,305","3,548","3,549","4,665","4,639","3,045","1,416",171
서울특별시 강북구 송천동(1130555500),663,"1,214","2,356","2,740","2,790","3,862","4,317","2,897","1,347",156
서울특별시 강북구 삼각산동(1130557500),"1,909","3,507","3,105","3,155","4,958","5,670","3,725","2,423","1,112",158
서울특별시 강북구 번1동(1130559500),397,716,"2,623","2,313","2,087","2,582","2,498","1,726",795,106
서울특별시 강북구 번2동(1130560300),363,740,"1,465","1,562","1,699","2,374","2,639","2,077","1,063",128
서울특별시 강북구 번3동(1130560800),535,978,"1,397","1,575","1,674","2,609","2,680","2,392","1,336",147
서울특별시 강북구 수유1동(1130561500),553,"1,132","2,474","2,578","2,368","3,078","3,438","2,282","1,064",169
서울특별시 강북구 수유2동(1130562500),655,"1,114","2,225","2,221","2,346","3,496","3,573","2,511","1,350",197
서울특별시 강북구 수유3동(1130563500),426,929,"3,677","3,340","2,652","3,729","3,654","2,382","1,182",146
서울특별시 강북구 우이동(1130564500),647,"1,236","2,032","2,216","2,402","3,371","3,384","2,412","1,356",192
서울특별시 강북구 인수동(1130566000),832,"1,812","2,934","3,243","3,467","4,690","5,122","3,582","1,779",262
